,Date, Open, High, Low, Close,Date_PE,PE_CAPE,TR CAPE,Yield
3312,11/05/07,1502.17,1510.84,1489.95,1502.17,2007.11,25.73,27.71,2.41%
3313,11/02/07,1509.65,1513.15,1492.53,1509.65,2007.11,25.73,27.71,2.41%
3314,11/01/07,1508.44,1545.79,1506.66,1508.44,2007.11,25.73,27.71,2.41%
3315,10/31/07,1549.38,1552.76,1529.4,1549.38,2007.1,27.32,29.42,1.73%
3316,10/30/07,1531.02,1539.42,1529.55,1531.02,2007.1,27.32,29.42,1.73%
3317,10/29/07,1540.98,1544.67,1536.43,1540.98,2007.1,27.32,29.42,1.73%
3318,10/26/07,1535.28,1535.53,1520.18,1535.28,2007.1,27.32,29.42,1.73%
3319,10/25/07,1514.4,1523.24,1500.46,1514.4,2007.1,27.32,29.42,1.73%
3320,10/24/07,1515.88,1517.23,1489.56,1515.88,2007.1,27.32,29.42,1.73%
3321,10/23/07,1519.59,1520.01,1503.61,1519.59,2007.1,27.32,29.42,1.73%
3322,10/22/07,1506.33,1508.06,1490.4,1506.33,2007.1,27.32,29.42,1.73%
3323,10/19/07,1500.63,1540.0,1500.26,1500.63,2007.1,27.32,29.42,1.73%
3324,10/18/07,1540.08,1542.79,1531.76,1540.08,2007.1,27.32,29.42,1.73%
3325,10/17/07,1541.24,1550.66,1526.01,1541.24,2007.1,27.32,29.42,1.73%
3326,10/16/07,1538.53,1547.81,1536.29,1538.53,2007.1,27.32,29.42,1.73%
3327,10/15/07,1548.71,1564.74,1540.81,1548.71,2007.1,27.32,29.42,1.73%
3328,10/12/07,1561.8,1563.03,1554.09,1561.8,2007.1,27.32,29.42,1.73%
3329,10/11/07,1554.41,1576.09,1546.72,1554.41,2007.1,27.32,29.42,1.73%
3330,10/10/07,1562.47,1565.36,1555.46,1562.47,2007.1,27.32,29.42,1.73%
3331,10/09/07,1565.15,1565.27,1551.81,1565.15,2007.1,27.32,29.42,1.73%
3332,10/08/07,1552.58,1556.51,1549.0,1552.58,2007.1,27.32,29.42,1.73%
3333,10/05/07,1557.59,1561.91,1543.84,1557.59,2007.1,27.32,29.42,1.73%
3334,10/04/07,1542.84,1544.02,1537.63,1542.84,2007.1,27.32,29.42,1.73%
3335,10/03/07,1539.6,1545.84,1536.34,1539.6,2007.1,27.32,29.42,1.73%
3336,10/02/07,1546.63,1548.01,1540.37,1546.63,2007.1,27.32,29.42,1.73%
3337,10/01/07,1547.04,1549.02,1527.25,1547.04,2007.1,27.32,29.42,1.73%
3338,09/28/07,1526.75,1533.74,1521.99,1526.75,2007.09,26.73,28.78,1.83%
3339,09/27/07,1531.38,1532.46,1525.81,1531.38,2007.09,26.73,28.78,1.83%
3340,09/26/07,1525.42,1529.39,1518.62,1525.42,2007.09,26.73,28.78,1.83%
3341,09/25/07,1517.21,1518.27,1507.13,1517.21,2007.09,26.73,28.78,1.83%
3342,09/24/07,1517.73,1530.18,1516.15,1517.73,2007.09,26.73,28.78,1.83%
3343,09/21/07,1525.75,1530.89,1518.75,1525.75,2007.09,26.73,28.78,1.83%
3344,09/20/07,1518.75,1529.14,1516.42,1518.75,2007.09,26.73,28.78,1.83%
3345,09/19/07,1529.03,1538.74,1519.75,1529.03,2007.09,26.73,28.78,1.83%
3346,09/18/07,1519.78,1519.89,1476.63,1519.78,2007.09,26.73,28.78,1.83%
3347,09/17/07,1476.65,1484.24,1471.82,1476.65,2007.09,26.73,28.78,1.83%
3348,09/14/07,1484.25,1485.99,1473.18,1484.25,2007.09,26.73,28.78,1.83%
3349,09/13/07,1483.95,1489.58,1471.47,1483.95,2007.09,26.73,28.78,1.83%
3350,09/12/07,1471.56,1479.5,1465.75,1471.56,2007.09,26.73,28.78,1.83%
3351,09/11/07,1471.49,1472.48,1451.69,1471.49,2007.09,26.73,28.78,1.83%
3352,09/10/07,1451.7,1462.25,1439.29,1451.7,2007.09,26.73,28.78,1.83%
3353,09/07/07,1453.55,1478.55,1449.07,1453.55,2007.09,26.73,28.78,1.83%
3354,09/06/07,1478.55,1481.49,1467.41,1478.55,2007.09,26.73,28.78,1.83%
3355,09/05/07,1472.29,1488.76,1466.34,1472.29,2007.09,26.73,28.78,1.83%
3356,09/04/07,1489.42,1496.4,1472.15,1489.42,2007.09,26.73,28.78,1.83%
3357,08/31/07,1473.99,1481.47,1457.61,1473.99,2007.08,26.15,28.16,1.76%
3358,08/30/07,1457.64,1468.43,1451.25,1457.64,2007.08,26.15,28.16,1.76%
3359,08/29/07,1463.76,1463.76,1432.01,1463.76,2007.08,26.15,28.16,1.76%
3360,08/28/07,1432.36,1466.72,1432.01,1432.36,2007.08,26.15,28.16,1.76%
3361,08/27/07,1466.79,1479.36,1465.98,1466.79,2007.08,26.15,28.16,1.76%
3362,08/24/07,1479.37,1479.4,1460.54,1479.37,2007.08,26.15,28.16,1.76%
3363,08/23/07,1462.5,1472.64,1453.88,1462.5,2007.08,26.15,28.16,1.76%
3364,08/22/07,1464.07,1464.86,1447.03,1464.07,2007.08,26.15,28.16,1.76%
3365,08/21/07,1447.12,1455.32,1439.76,1447.12,2007.08,26.15,28.16,1.76%
3366,08/20/07,1445.55,1451.75,1430.54,1445.55,2007.08,26.15,28.16,1.76%
3367,08/17/07,1445.94,1450.33,1411.26,1445.94,2007.08,26.15,28.16,1.76%
3368,08/16/07,1411.27,1415.97,1370.6,1411.27,2007.08,26.15,28.16,1.76%
3369,08/15/07,1406.7,1440.78,1404.36,1406.7,2007.08,26.15,28.16,1.76%
3370,08/14/07,1426.54,1456.74,1426.2,1426.54,2007.08,26.15,28.16,1.76%
3371,08/13/07,1452.92,1466.29,1451.54,1452.92,2007.08,26.15,28.16,1.76%
3372,08/10/07,1453.64,1462.02,1429.74,1453.64,2007.08,26.15,28.16,1.76%
3373,08/09/07,1453.09,1497.21,1453.09,1453.09,2007.08,26.15,28.16,1.76%
3374,08/08/07,1497.49,1503.41,1476.22,1497.49,2007.08,26.15,28.16,1.76%
3375,08/07/07,1476.71,1488.42,1456.9,1476.71,2007.08,26.15,28.16,1.76%
3376,08/06/07,1467.67,1467.67,1427.36,1467.67,2007.08,26.15,28.16,1.76%
3377,08/03/07,1433.06,1473.15,1432.81,1433.06,2007.08,26.15,28.16,1.76%
3378,08/02/07,1472.2,1476.13,1460.73,1472.2,2007.08,26.15,28.16,1.76%
3379,08/01/07,1465.81,1467.8,1439.64,1465.81,2007.08,26.15,28.16,1.76%
3380,07/31/07,1455.27,1488.4,1454.22,1455.27,2007.07,27.41,29.52,1.29%
3381,07/30/07,1473.91,1477.69,1454.24,1473.91,2007.07,27.41,29.52,1.29%
3382,07/27/07,1458.95,1487.93,1458.95,1458.95,2007.07,27.41,29.52,1.29%
3383,07/26/07,1482.66,1518.09,1465.95,1482.66,2007.07,27.41,29.52,1.29%
3384,07/25/07,1518.09,1524.31,1503.91,1518.09,2007.07,27.41,29.52,1.29%
3385,07/24/07,1511.04,1541.57,1508.74,1511.04,2007.07,27.41,29.52,1.29%
3386,07/23/07,1541.57,1547.02,1534.06,1541.57,2007.07,27.41,29.52,1.29%
3387,07/20/07,1534.1,1553.19,1529.47,1534.1,2007.07,27.41,29.52,1.29%
3388,07/19/07,1553.08,1555.24,1546.13,1553.08,2007.07,27.41,29.52,1.29%
3389,07/18/07,1546.17,1549.2,1533.68,1546.17,2007.07,27.41,29.52,1.29%
